ID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE
MICEXBMI,16/06/2016,1329.4,1330.7,1311.21,1322.57,32695657318
MICEXBMI,17/06/2016,1330.78,1341.36,1324.53,1328.03,35803578391
MICEXBMI,20/06/2016,1341.06,1348.49,1338.97,1345.88,24176379832
MICEXBMI,21/06/2016,1341.83,1350.99,1333.34,1346.72,25845995498
MICEXBMI,22/06/2016,1352.07,1352.72,1338.52,1341.34,21928442560
MICEXBMI,23/06/2016,1336.35,1356.94,1331.88,1356.94,26260262615
MICEXBMI,24/06/2016,1308.17,1332.51,1306.08,1332.15,42911785923
MICEXBMI,27/06/2016,1330.23,1334.52,1302.45,1302.45,35308729116
MICEXBMI,28/06/2016,1312.19,1317.81,1304.71,1313.54,30120367743
MICEXBMI,29/06/2016,1318.97,1335,1317.54,1335,25790770269
MICEXBMI,30/06/2016,1333.77,1341.35,1328.85,1336.97,29094671366
MICEXBMI,01/07/2016,1336.99,1343.41,1329.7,1340.86,21932594574
MICEXBMI,04/07/2016,1344.45,1352.59,1340.76,1348.54,21519966143
MICEXBMI,05/07/2016,1345.5,1345.95,1334.57,1340.35,21853641313
MICEXBMI,06/07/2016,1337.12,1340.96,1323.61,1329.14,27114135740
MICEXBMI,07/07/2016,1336.25,1344.41,1328.59,1331.33,31899489685
MICEXBMI,08/07/2016,1325,1341.18,1316.2,1339.61,35733164992
MICEXBMI,11/07/2016,1338.74,1353.39,1334.92,1352.76,28629972690
MICEXBMI,12/07/2016,1352.7,1373.18,1352.01,1370.31,33335027386
MICEXBMI,13/07/2016,1367.46,1375.36,1363.56,1368.58,38624641730
MICEXBMI,14/07/2016,1371.21,1374.69,1358.91,1373.1,34105172478
MICEXBMI,15/07/2016,1365.23,1373.86,1363.52,1372.04,36673887842
MICEXBMI,18/07/2016,1368.9,1377.5,1357.83,1368.85,30645439906
MICEXBMI,19/07/2016,1355.48,1363.83,1345.93,1354.65,32974291061
MICEXBMI,20/07/2016,1351.3,1358.46,1341.11,1354.22,28059291148
MICEXBMI,21/07/2016,1358.49,1365,1352.12,1363.12,20545972866
MICEXBMI,22/07/2016,1360.49,1367.37,1359.98,1362.77,17962311344
MICEXBMI,25/07/2016,1367.99,1374.01,1359.92,1366.52,27743425541
MICEXBMI,26/07/2016,1368.06,1372.41,1356.95,1371.31,30918951406
MICEXBMI,27/07/2016,1370.75,1372.95,1364.23,1371.36,28660181079
MICEXBMI,28/07/2016,1369.04,1386.01,1367.46,1382.57,27299189786
MICEXBMI,29/07/2016,1382.68,1382.73,1372.15,1375.86,31290443134
MICEXBMI,01/08/2016,1382.74,1389.35,1373.72,1377.71,24974377049
MICEXBMI,02/08/2016,1374.59,1375.25,1350.76,1353.37,28992142004
MICEXBMI,03/08/2016,1354.25,1360.41,1346.58,1357.87,23588418144
MICEXBMI,04/08/2016,1366.3,1376.04,1363.39,1375.98,24593469373
MICEXBMI,05/08/2016,1377.16,1381.23,1366.67,1375.77,21683035715
MICEXBMI,08/08/2016,1381.02,1384.73,1378.12,1384.73,20568877583
MICEXBMI,09/08/2016,1381.33,1390,1379.4,1384.53,23220278401
MICEXBMI,10/08/2016,1383.18,1386.94,1373.93,1375.1,21930327943
MICEXBMI,11/08/2016,1376.79,1381.78,1368.54,1381.78,22246654660
MICEXBMI,12/08/2016,1386.91,1393.04,1382.37,1392.44,23929717056
MICEXBMI,15/08/2016,1391.65,1403.67,1391.65,1399.61,24785010688
MICEXBMI,16/08/2016,1399.96,1411.44,1392.72,1398.48,29042884387
MICEXBMI,17/08/2016,1393.05,1396.41,1387.04,1393.74,25680186359
MICEXBMI,18/08/2016,1396.88,1398.9,1388.17,1394.25,25987140788
MICEXBMI,19/08/2016,1395.63,1397.15,1387.08,1387.08,20243835494
MICEXBMI,22/08/2016,1382.12,1400.59,1379.55,1400.59,20874271825
MICEXBMI,23/08/2016,1397.47,1409.99,1397.47,1408,23604490682
MICEXBMI,24/08/2016,1407.31,1407.48,1397.97,1404,21453019412
MICEXBMI,25/08/2016,1402.78,1406.72,1394.29,1405.48,30700001601
MICEXBMI,26/08/2016,1405.3,1413.25,1399.45,1410.77,31023239375
MICEXBMI,29/08/2016,1399.96,1406.41,1395.18,1406.41,19922398243
MICEXBMI,30/08/2016,1405.71,1415.09,1404.61,1405.77,23113213741
MICEXBMI,31/08/2016,1405.95,1407.64,1393.09,1396.4,30177040324
MICEXBMI,01/09/2016,1398.35,1403.91,1395.46,1400.21,22827315672
MICEXBMI,02/09/2016,1403.14,1420.51,1399.97,1418.88,28418569356
MICEXBMI,05/09/2016,1421.02,1430.03,1420.29,1428.44,27027487177
MICEXBMI,06/09/2016,1431.45,1444.68,1428.94,1444.21,33807563936
MICEXBMI,07/09/2016,1448.21,1458.22,1447.91,1454.46,40097129672
MICEXBMI,08/09/2016,1458.83,1461.06,1445.85,1452.57,32309456423
MICEXBMI,09/09/2016,1448.07,1448.07,1436.91,1436.91,24113205237
MICEXBMI,12/09/2016,1425.59,1432.02,1420.23,1430.89,31770907267
MICEXBMI,13/09/2016,1432.74,1435.25,1417.72,1419.81,22548478012
MICEXBMI,14/09/2016,1419.69,1424.05,1413.67,1420.03,24690876991
MICEXBMI,15/09/2016,1418.42,1419.96,1405.08,1414.47,29112806347
MICEXBMI,16/09/2016,1416.4,1419.83,1395.31,1404.22,36791599132
MICEXBMI,19/09/2016,1409.88,1412.41,1404.08,1407.99,24578883619
MICEXBMI,20/09/2016,1405.02,1411.48,1395.81,1411.45,22613697519
MICEXBMI,21/09/2016,1415.79,1420.13,1409.54,1415.87,23731360978
MICEXBMI,22/09/2016,1420.74,1435.17,1418.36,1435.17,32441466417
MICEXBMI,23/09/2016,1430.9,1430.9,1414.35,1425.87,27315353847
MICEXBMI,26/09/2016,1418.17,1422.92,1413.37,1416.56,25294156971
MICEXBMI,27/09/2016,1415.51,1416.3,1400.63,1400.63,26182588160
MICEXBMI,28/09/2016,1403.23,1413.79,1401.02,1404.59,24307964741
MICEXBMI,29/09/2016,1420,1422.56,1414.65,1415.34,25638659438
MICEXBMI,30/09/2016,1407.76,1409.7,1400.78,1402.7,30225088288
