<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MTSS,D,20160616,000000,256.0000000,2894910
MTSS,D,20160617,000000,253.3000000,1670910
MTSS,D,20160620,000000,262.2000000,2546330
MTSS,D,20160621,000000,255.1000000,3805860
MTSS,D,20160622,000000,253.0000000,2138390
MTSS,D,20160623,000000,249.9000000,5937750
MTSS,D,20160624,000000,238.1500000,5357660
MTSS,D,20160627,000000,234.5000000,3794880
MTSS,D,20160628,000000,240.8000000,3004980
MTSS,D,20160629,000000,243.5000000,2908830
MTSS,D,20160630,000000,243.0500000,1608640
MTSS,D,20160701,000000,245.0500000,2679710
MTSS,D,20160704,000000,235.4500000,2542570
MTSS,D,20160705,000000,235.1500000,1920510
MTSS,D,20160706,000000,235.2000000,962470
MTSS,D,20160707,000000,231.5000000,5118070
MTSS,D,20160708,000000,232.0000000,2677580
MTSS,D,20160711,000000,238.2000000,3179820
MTSS,D,20160712,000000,238.0500000,2083450
MTSS,D,20160713,000000,235.8500000,1113510
MTSS,D,20160714,000000,232.5000000,2365130
MTSS,D,20160715,000000,235.2000000,1726030
MTSS,D,20160718,000000,236.9000000,1053800
MTSS,D,20160719,000000,235.3500000,2936350
MTSS,D,20160720,000000,239.5000000,1367100
MTSS,D,20160721,000000,244.3000000,2462570
MTSS,D,20160722,000000,243.9000000,2552010
MTSS,D,20160725,000000,245.2000000,1811870
MTSS,D,20160726,000000,248.8000000,1769990
MTSS,D,20160727,000000,249.3500000,2256360
MTSS,D,20160728,000000,251.8000000,2141350
MTSS,D,20160729,000000,252.0000000,1764530
MTSS,D,20160801,000000,250.9500000,1851660
MTSS,D,20160802,000000,248.0000000,1775910
MTSS,D,20160803,000000,246.0000000,1525670
MTSS,D,20160804,000000,248.6000000,2136350
MTSS,D,20160805,000000,247.2000000,1118220
MTSS,D,20160808,000000,250.9000000,1576760
MTSS,D,20160809,000000,252.4000000,1531120
MTSS,D,20160810,000000,250.0000000,1396490
MTSS,D,20160811,000000,250.5000000,1364060
MTSS,D,20160812,000000,251.8000000,1792560
MTSS,D,20160815,000000,249.8500000,1122950
MTSS,D,20160816,000000,251.9000000,947230
MTSS,D,20160817,000000,247.5500000,1247090
MTSS,D,20160818,000000,240.0000000,5157050
MTSS,D,20160819,000000,236.6500000,2183870
MTSS,D,20160822,000000,237.1000000,1660020
MTSS,D,20160823,000000,237.3500000,1648420
MTSS,D,20160824,000000,235.2500000,1703600
MTSS,D,20160825,000000,237.5000000,1629830
MTSS,D,20160826,000000,237.2000000,1752100
MTSS,D,20160829,000000,236.0500000,1318590
MTSS,D,20160830,000000,240.7500000,2348480
MTSS,D,20160831,000000,239.1000000,3294570
MTSS,D,20160901,000000,237.0000000,2283070
MTSS,D,20160902,000000,239.5000000,1444820
MTSS,D,20160905,000000,238.8500000,746190
MTSS,D,20160906,000000,239.9000000,1377540
MTSS,D,20160907,000000,244.6000000,5408820
MTSS,D,20160908,000000,246.3500000,2097940
MTSS,D,20160909,000000,243.8500000,1527280
MTSS,D,20160912,000000,240.7000000,1582730
MTSS,D,20160913,000000,237.4000000,2018530
MTSS,D,20160914,000000,235.5500000,1660370
MTSS,D,20160915,000000,230.2000000,4510040
MTSS,D,20160916,000000,232.0000000,3153210
MTSS,D,20160919,000000,231.0000000,1653660
MTSS,D,20160920,000000,230.5000000,1107730
MTSS,D,20160921,000000,233.0000000,2669570
MTSS,D,20160922,000000,234.8000000,2376600
MTSS,D,20160923,000000,231.8500000,2672110
MTSS,D,20160926,000000,230.7000000,2022530
MTSS,D,20160927,000000,229.9000000,2648690
MTSS,D,20160928,000000,229.8000000,2943930
MTSS,D,20160929,000000,230.0500000,1158450
MTSS,D,20160930,000000,227.5000000,3322980
MTSS,D,20161003,000000,229.4000000,2241820
MTSS,D,20161004,000000,229.0500000,2187110
MTSS,D,20161005,000000,228.4000000,2006800
MTSS,D,20161006,000000,230.8000000,2480580
MTSS,D,20161007,000000,230.3000000,2185500
MTSS,D,20161010,000000,232.5500000,2377800
MTSS,D,20161011,000000,231.9500000,2251820
MTSS,D,20161012,000000,232.4000000,4432750
MTSS,D,20161013,000000,221.7500000,4388580
MTSS,D,20161014,000000,219.4500000,2676320
MTSS,D,20161017,000000,219.4500000,1479640
MTSS,D,20161018,000000,220.1500000,1336780
MTSS,D,20161019,000000,218.8000000,1330920
MTSS,D,20161020,000000,218.8000000,1107530
MTSS,D,20161021,000000,217.6000000,1233300
MTSS,D,20161024,000000,217.3000000,2200400
MTSS,D,20161025,000000,217.4500000,1846410
MTSS,D,20161026,000000,217.2000000,857500
MTSS,D,20161027,000000,213.4000000,2687180
MTSS,D,20161028,000000,213.3000000,2626380
MTSS,D,20161031,000000,223.5000000,8776270
MTSS,D,20161101,000000,223.7000000,3328460
MTSS,D,20161102,000000,220.6000000,2231950
MTSS,D,20161103,000000,220.5000000,2346180
MTSS,D,20161107,000000,220.8000000,1155200
MTSS,D,20161108,000000,219.2000000,1232680
MTSS,D,20161109,000000,220.7000000,1829540
MTSS,D,20161110,000000,224.3000000,4985640
MTSS,D,20161111,000000,221.9000000,1510620
MTSS,D,20161114,000000,221.5500000,979310
