<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MOEX,D,20161121,000000,113.0300000,8803710
MOEX,D,20161122,000000,116.6800000,9821830
MOEX,D,20161123,000000,119.0000000,11108600
MOEX,D,20161124,000000,118.6700000,6961640
MOEX,D,20161125,000000,117.5000000,6852710
MOEX,D,20161128,000000,116.3000000,3905690
MOEX,D,20161129,000000,114.0100000,8868650
MOEX,D,20161130,000000,118.3500000,11653720
MOEX,D,20161201,000000,119.6000000,10290660
MOEX,D,20161202,000000,116.7000000,7560890
MOEX,D,20161205,000000,119.4500000,7395670
MOEX,D,20161206,000000,119.8100000,7832990
MOEX,D,20161207,000000,118.7000000,4214310
MOEX,D,20161208,000000,119.7000000,6753440
MOEX,D,20161209,000000,120.5500000,8828670
MOEX,D,20161212,000000,125.0000000,15683760
MOEX,D,20161213,000000,128.4600000,10517960
MOEX,D,20161214,000000,122.5000000,12053140
MOEX,D,20161215,000000,124.9000000,8941840
MOEX,D,20161216,000000,122.7300000,9643390
MOEX,D,20161219,000000,124.0000000,5257430
MOEX,D,20161220,000000,122.5000000,5441260
MOEX,D,20161221,000000,120.4000000,7583520
MOEX,D,20161222,000000,117.5000000,6536610
MOEX,D,20161223,000000,116.6700000,4175800
MOEX,D,20161226,000000,118.1500000,2319370
MOEX,D,20161227,000000,119.4300000,2123170
MOEX,D,20161228,000000,120.5100000,3192540
MOEX,D,20161229,000000,122.4500000,4192570
MOEX,D,20161230,000000,125.5900000,6645450
MOEX,D,20170103,000000,127.9000000,11976500
MOEX,D,20170104,000000,130.0000000,5595090
MOEX,D,20170105,000000,127.7500000,6814030
MOEX,D,20170106,000000,125.5700000,3126460
MOEX,D,20170109,000000,127.8000000,7624380
MOEX,D,20170110,000000,129.9500000,6510870
MOEX,D,20170111,000000,134.7700000,14895270
MOEX,D,20170112,000000,137.6000000,10593620
MOEX,D,20170113,000000,134.6900000,10947710
MOEX,D,20170116,000000,133.0000000,4588820
MOEX,D,20170117,000000,129.8000000,10280330
MOEX,D,20170118,000000,131.5000000,4972770
MOEX,D,20170119,000000,131.6800000,7624810
MOEX,D,20170120,000000,130.7500000,3275830
MOEX,D,20170123,000000,130.4000000,4336040
MOEX,D,20170124,000000,131.6100000,5714480
MOEX,D,20170125,000000,131.8600000,3973050
MOEX,D,20170126,000000,136.4200000,7557980
MOEX,D,20170127,000000,138.5000000,6851980
MOEX,D,20170130,000000,136.0000000,4810840
MOEX,D,20170131,000000,134.2000000,4122530
MOEX,D,20170201,000000,134.8000000,5137920
MOEX,D,20170202,000000,134.1700000,4774800
MOEX,D,20170203,000000,135.7900000,7191960
MOEX,D,20170206,000000,135.1000000,3740800
MOEX,D,20170207,000000,133.6900000,3010310
MOEX,D,20170208,000000,131.5500000,4436480
MOEX,D,20170209,000000,131.6700000,4332170
MOEX,D,20170210,000000,130.7900000,5438890
MOEX,D,20170213,000000,129.4800000,4460430
MOEX,D,20170214,000000,127.4000000,7156410
MOEX,D,20170215,000000,127.8100000,9175190
MOEX,D,20170216,000000,127.0000000,6413930
MOEX,D,20170217,000000,126.5000000,7323090
MOEX,D,20170220,000000,124.3800000,6363610
MOEX,D,20170221,000000,124.9700000,5379950
MOEX,D,20170222,000000,126.2000000,7165450
MOEX,D,20170224,000000,126.2000000,7751190
MOEX,D,20170227,000000,123.0000000,6558930
MOEX,D,20170228,000000,123.5000000,7604300
MOEX,D,20170301,000000,128.2500000,6034930
MOEX,D,20170302,000000,124.4700000,9613610
MOEX,D,20170303,000000,118.2600000,20672410
MOEX,D,20170306,000000,113.5100000,18977720
MOEX,D,20170307,000000,116.4500000,13825110
MOEX,D,20170309,000000,113.5000000,18264040
MOEX,D,20170310,000000,113.0000000,9674790
MOEX,D,20170313,000000,114.0200000,7941920
MOEX,D,20170314,000000,113.2000000,7690710
MOEX,D,20170315,000000,110.1500000,10934760
MOEX,D,20170316,000000,112.8100000,12745970
MOEX,D,20170317,000000,114.4500000,13036430
MOEX,D,20170320,000000,117.1600000,13200470
MOEX,D,20170321,000000,114.3800000,16245770
MOEX,D,20170322,000000,113.4900000,15997040
MOEX,D,20170323,000000,112.0100000,9726970
MOEX,D,20170324,000000,114.3200000,9570070
MOEX,D,20170327,000000,112.4000000,6271980
MOEX,D,20170328,000000,114.6200000,7208660
MOEX,D,20170329,000000,113.4100000,8261440
MOEX,D,20170330,000000,114.1000000,4448210
MOEX,D,20170331,000000,111.5100000,5678610
MOEX,D,20170403,000000,114.6000000,8010990
MOEX,D,20170404,000000,114.3400000,6607550
