<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MTLR,D,20160816,000000,54.3500000,153581
MTLR,D,20160817,000000,56.1000000,1032089
MTLR,D,20160818,000000,58.8200000,1151882
MTLR,D,20160819,000000,58.8400000,1891009
MTLR,D,20160822,000000,59.8000000,680064
MTLR,D,20160823,000000,60.3700000,758812
MTLR,D,20160824,000000,61.4100000,1530892
MTLR,D,20160825,000000,61.5900000,547250
MTLR,D,20160826,000000,60.5100000,528868
MTLR,D,20160829,000000,63.6200000,2799198
MTLR,D,20160830,000000,64.5500000,1070890
MTLR,D,20160831,000000,68.7000000,3422486
MTLR,D,20160901,000000,72.3000000,4012591
MTLR,D,20160902,000000,70.9000000,2471644
MTLR,D,20160905,000000,71.2500000,1252024
MTLR,D,20160906,000000,74.1500000,2609853
MTLR,D,20160907,000000,78.6500000,2536819
MTLR,D,20160908,000000,88.6800000,6780998
MTLR,D,20160909,000000,87.7000000,7251764
MTLR,D,20160912,000000,84.1800000,5620075
MTLR,D,20160913,000000,80.0100000,3327967
MTLR,D,20160914,000000,82.0100000,4233200
MTLR,D,20160915,000000,80.9900000,1962579
MTLR,D,20160916,000000,80.1700000,1130562
MTLR,D,20160919,000000,85.2000000,2498000
MTLR,D,20160920,000000,84.5700000,981475
MTLR,D,20160921,000000,85.1800000,1743930
MTLR,D,20160922,000000,87.8200000,2463502
MTLR,D,20160923,000000,87.7600000,1918008
MTLR,D,20160926,000000,91.7000000,2355050
MTLR,D,20160927,000000,87.9900000,3266090
MTLR,D,20160928,000000,90.5300000,1632397
MTLR,D,20160929,000000,88.8000000,803594
MTLR,D,20160930,000000,90.0000000,1911942
MTLR,D,20161003,000000,91.0300000,2069172
MTLR,D,20161004,000000,92.0100000,1646964
MTLR,D,20161005,000000,90.0000000,964364
MTLR,D,20161006,000000,89.0000000,783749
MTLR,D,20161007,000000,87.8200000,542251
MTLR,D,20161010,000000,87.8400000,722258
MTLR,D,20161011,000000,91.0000000,1359981
MTLR,D,20161012,000000,89.9900000,1169435
MTLR,D,20161013,000000,89.5100000,442502
MTLR,D,20161014,000000,89.2100000,286838
MTLR,D,20161017,000000,93.0000000,1502331
MTLR,D,20161018,000000,93.1400000,1286246
MTLR,D,20161019,000000,98.7000000,3103747
MTLR,D,20161020,000000,106.6800000,4318363
MTLR,D,20161021,000000,116.6000000,6024640
MTLR,D,20161024,000000,145.6000000,15245299
MTLR,D,20161025,000000,144.0100000,15009828
MTLR,D,20161026,000000,147.4500000,6075845
MTLR,D,20161027,000000,157.7900000,8817418
MTLR,D,20161028,000000,153.0000000,3433681
MTLR,D,20161031,000000,148.2000000,3687650
MTLR,D,20161101,000000,152.9600000,2636665
MTLR,D,20161102,000000,148.0300000,1814648
MTLR,D,20161103,000000,141.7000000,3215360
MTLR,D,20161107,000000,151.0000000,2830966
MTLR,D,20161108,000000,156.2800000,3588497
MTLR,D,20161109,000000,163.5000000,3613359
MTLR,D,20161110,000000,177.0000000,9336168
MTLR,D,20161111,000000,185.9000000,4373439
MTLR,D,20161114,000000,210.8300000,9006776
MTLR,D,20161115,000000,211.0000000,8537689
MTLR,D,20161116,000000,208.2100000,3313699
MTLR,D,20161117,000000,201.0000000,2397698
MTLR,D,20161118,000000,185.9300000,6059832
MTLR,D,20161121,000000,203.0200000,4932725
MTLR,D,20161122,000000,197.8900000,4300123
MTLR,D,20161123,000000,193.7800000,2388044
MTLR,D,20161124,000000,193.0000000,1510562
MTLR,D,20161125,000000,195.5000000,2027674
MTLR,D,20161128,000000,199.6600000,1791717
MTLR,D,20161129,000000,192.0400000,2672122
MTLR,D,20161130,000000,182.8100000,2534289
MTLR,D,20161201,000000,183.5500000,1124290
MTLR,D,20161202,000000,174.5100000,3670183
MTLR,D,20161205,000000,175.3400000,1666816
MTLR,D,20161206,000000,171.5000000,846100
MTLR,D,20161207,000000,172.5000000,1051520
MTLR,D,20161208,000000,170.0000000,1323442
MTLR,D,20161209,000000,165.6200000,1290231
MTLR,D,20161212,000000,194.0000000,7677764
MTLR,D,20161213,000000,189.0000000,3948707
MTLR,D,20161214,000000,190.0000000,2291240
MTLR,D,20161215,000000,194.9800000,3801937
MTLR,D,20161216,000000,194.0000000,3239641
MTLR,D,20161219,000000,192.7800000,1589983
MTLR,D,20161220,000000,187.8100000,1219869
MTLR,D,20161221,000000,188.7000000,1164318
MTLR,D,20161222,000000,180.0100000,1891769
MTLR,D,20161223,000000,177.4000000,830632
MTLR,D,20161226,000000,189.1000000,2097544
MTLR,D,20161227,000000,181.8000000,1784347
MTLR,D,20161228,000000,180.0000000,1696561
MTLR,D,20161229,000000,181.5100000,757066
MTLR,D,20161230,000000,181.2500000,465996
MTLR,D,20170103,000000,185.1500000,723014
MTLR,D,20170104,000000,181.6700000,320538
